到课率,习题正确率,预习率,成绩
0.833 ,0.901 ,0.833 ,82
0.833 ,0.724 ,0.667 ,67
0.750 ,0.704 ,0.833 ,75
0.833 ,0.770 ,0.500 ,82
0.750 ,0.717 ,0.667 ,59
0.750 ,0.743 ,0.667 ,70
0.750 ,0.928 ,0.333 ,86
0.833 ,0.441 ,0.667 ,60
0.833 ,0.757 ,0.333 ,81
0.750 ,0.572 ,0.500 ,70
0.833 ,0.539 ,0.167 ,75
0.750 ,0.441 ,0.500 ,60
0.667 ,0.730 ,0.333 ,77
0.750 ,0.664 ,0.167 ,59
0.750 ,0.645 ,0.167 ,65
0.833 ,0.553 ,0.000 ,85
0.750 ,0.579 ,0.167 ,59
0.583 ,0.454 ,0.500 ,59
0.750 ,0.520 ,0.000 ,59
0.667 ,0.362 ,0.167 ,85
0.750 ,0.421 ,0.000 ,59
0.500 ,0.592 ,0.167 ,59
0.667 ,0.401 ,0.000 ,59
0.583 ,0.500 ,0.000 ,59
0.417 ,0.513 ,0.167 ,92
0.500 ,0.263 ,0.167 ,59
0.417 ,0.395 ,0.000 ,60
0.333 ,0.211 ,0.333 ,95
0.060 ,0.100 ,0.000 ,62
0.470 ,0.038 ,0.522 ,59
0.290 ,0.042 ,0.058 ,59
0.410 ,0.057 ,0.058 ,59
0.470 ,0.084 ,0.000 ,65
0.760 ,0.119 ,0.203 ,66
0.590 ,0.126 ,0.623 ,68
0.710 ,0.054 ,0.058 ,59
0.710 ,0.042 ,0.043 ,59
0.760 ,0.118 ,0.101 ,71
0.350 ,0.031 ,0.058 ,59
0.290 ,0.031 ,0.000 ,59
0.180 ,0.031 ,0.058 ,59
0.470 ,0.080 ,0.058 ,59
0.240 ,0.073 ,0.087 ,59
0.940 ,0.280 ,0.971 ,77
0.350 ,0.107 ,0.000 ,60
0.760 ,0.142 ,0.377 ,73
0.710 ,0.123 ,0.884 ,61
0.240 ,0.050 ,0.101 ,59
0.760 ,0.130 ,0.058 ,61
